scenario;keytype;size;unit;items_per_op;raw_block_hash;set3_load_factor;map_load_factor;set3_ns;map_ns;delta_pct;ci_low_pct;ci_high_pct;level;noise_floor_pct;resolved;repeats;validation_runs;inner_loops;block_length;autocorrelation;tie_rate;drift_p_set3;drift_p_map;set3_alloc_bytes;map_alloc_bytes;set3_mallocs;map_mallocs;skipped;seconds;note
build-presized;uint64;16384;ns/element;16384;true;0.0000;0.0000;9.3993;17.4506;46.138;44.744;47.883;0.950;2.0315;true;101;10;27;1;0.1539;0.0028;0.7552;0.9731;13.505;36.078;0.00020;0.00397;false;27.3;
build-presized;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;19.3999;55.8669;65.275;64.536;66.609;0.950;1.2138;true;11;2;1;1;0.0962;0.0162;0.3576;0.1206;13.094;36.078;0.00000;0.00391;false;10.9;
build-presized;string;16384;ns/element;16384;false;0.0000;0.0000;14.5528;29.0686;49.936;48.937;50.948;0.950;1.4848;true;101;10;23;1;0.1307;0.0040;0.2085;0.1809;25.005;53.328;0.00018;0.00397;false;37.2;
build-presized;string;2097152;ns/element;2097152;false;0.0000;0.0000;40.2755;85.0245;52.631;51.002;53.852;0.950;1.1826;true;11;2;1;2;0.2588;0.0006;0.1506;0.2622;24.731;53.328;0.00000;0.00391;false;18.0;
build-presized;struct3x64;16384;ns/element;16384;true;0.0000;0.0000;17.6564;44.5713;60.386;59.208;61.473;0.950;2.2229;true;101;10;22;5;0.3493;0.0040;0.1352;0.8531;37.006;80.078;0.00024;0.00397;false;49.7;
build-presized;struct3x64;2097152;ns/element;2097152;true;0.0000;0.0000;52.8878;160.3462;67.016;63.592;69.750;0.950;0.8472;true;11;2;1;1;0.1172;0.0066;0.9313;0.4045;36.367;80.078;0.00000;0.00391;false;29.8;
build-growing;uint64;16384;ns/element;16384;true;0.0000;0.0000;34.1388;50.7062;32.673;31.787;34.568;0.950;2.1026;true;101;10;9;5;0.2564;0.0054;0.4967;0.6470;59.782;72.179;0.00226;0.00879;false;29.1;
build-growing;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;45.5301;79.3606;42.629;40.837;44.111;0.950;2.0451;true;11;2;1;2;0.4911;0.0076;0.3143;0.4902;39.338;72.159;0.00003;0.00782;false;17.9;
build-growing;string;16384;ns/element;16384;false;0.0000;0.0000;72.1807;78.6528;8.229;3.913;12.660;0.950;2.2341;true;101;10;5;5;0.4001;0.0038;0.0607;0.3175;110.657;106.628;0.00226;0.00879;false;29.6;
build-growing;string;2097152;ns/element;2097152;false;0.0000;0.0000;147.6847;193.5104;23.681;21.607;26.386;0.950;1.5693;true;11;2;1;1;0.1454;0.0144;0.3143;0.3428;74.240;106.658;0.00003;0.00782;false;49.0;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
dedup-stream;uint64;16384;ns/event;32768;true;0.0000;0.0000;17.2496;21.9026;21.244;19.684;22.792;0.950;2.4456;true;101;10;8;1;0.1703;0.0018;0.0557;0.7421;19.880;18.051;0.00095;0.00241;false;24.7;
dedup-stream;uint64;2097152;ns/event;4194304;true;0.0000;0.0000;30.5209;38.1974;20.097;15.617;23.358;0.950;1.7083;true;11;2;1;1;0.0664;0.0046;0.9313;0.9313;19.669;18.040;0.00001;0.00196;false;19.3;
dedup-stream;string;16384;ns/event;32768;false;0.0000;0.0000;36.5539;33.3444;-9.625;-11.896;-5.902;0.950;1.6021;true;101;10;4;1;0.1270;0.0044;0.2102;0.1976;36.808;26.650;0.00095;0.00241;false;23.9;
dedup-stream;string;2097152;ns/event;4194304;false;0.0000;0.0000;140.8308;126.2381;-11.560;-17.312;-9.278;0.950;1.3751;true;11;2;1;2;0.3192;0.0090;0.2875;0.6663;37.120;26.665;0.00001;0.00196;false;76.6;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
dedup-stream;struct3x64;16384;ns/event;32768;true;0.0000;0.0000;36.4381;50.1347;27.320;25.617;29.027;0.950;2.6434;true;101;10;4;5;0.5481;0.0044;0.0208;0.0684;54.001;39.917;0.00098;0.00241;false;27.3;candidate A drifted during the run, shifting +2.74% from its first half to its second, the machine did not hold still
dedup-stream;struct3x64;2097152;ns/event;4194304;true;0.0000;0.0000;78.2700;122.9707;36.351;34.639;43.045;0.950;1.7721;true;11;2;1;1;-0.0895;0.0072;0.4548;0.7737;54.576;40.039;0.00001;0.00196;false;55.3;
lookup-hit30;uint64;16384;ns/lookup;1;true;0.6661;0.4711;9.1398;10.3779;11.930;11.625;12.098;0.950;0.2945;true;101;10;383289;1;0.0321;0.0034;0.3975;0.9770;0.000;0.000;0.00000;0.00000;false;17.1;
lookup-hit30;uint64;2097152;ns/lookup;1;true;0.6873;0.4712;14.6496;19.3200;24.174;23.484;24.836;0.950;0.3841;true;101;10;256977;1;0.1255;0.0018;0.2294;0.6372;0.000;0.000;0.00000;0.00000;false;19.5;
lookup-hit30;string;16384;ns/lookup;1;false;0.6799;0.4688;13.8595;14.6770;5.570;5.157;6.070;0.950;0.3242;true;101;10;262679;1;0.0288;0.0024;0.9194;0.0025;0.000;0.000;0.00000;0.00000;false;16.8;candidate B drifted during the run, shifting -0.73% from its first half to its second, the machine did not hold still
lookup-hit30;string;2097152;ns/lookup;1;false;0.6874;0.4688;35.4664;41.0926;13.692;11.102;15.727;0.950;1.2914;true;101;10;116279;5;0.5055;0.0002;0.2811;0.5439;0.000;0.000;0.00000;0.00000;false;18.8;
lookup-hit30;struct3x64;16384;ns/lookup;1;true;0.6756;0.4121;12.1339;14.2609;14.915;14.664;15.283;0.950;0.1848;true;101;10;258031;1;0.0010;0.0018;0.9320;0.5833;0.000;0.000;0.00000;0.00000;false;15.3;
lookup-hit30;struct3x64;2097152;ns/lookup;1;true;0.6874;0.4121;19.4846;26.3214;25.974;24.960;26.641;0.950;0.2991;true;101;10;185802;1;0.1126;0.0000;0.2194;0.2112;0.000;0.000;0.00000;0.00000;false;19.7;
lookup-hit95;uint64;16384;ns/lookup;1;true;0.6664;0.4712;5.0636;6.7058;24.490;24.072;24.828;0.950;1.5699;true;101;10;649549;1;0.1249;0.0050;0.6135;0.0606;0.000;0.000;0.00000;0.00000;false;17.2;
lookup-hit95;uint64;2097152;ns/lookup;1;true;0.6873;0.4712;15.1487;15.5737;2.729;-0.425;8.017;0.950;0.4512;false;101;10;242056;1;0.0404;0.0008;0.4569;0.8594;0.000;0.000;0.00000;0.00000;false;16.7;the interval [-0.43%, 8.02%] includes zero, so a difference in either direction is consistent with these measurements, in 30% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit95;struct3x64;16384;ns/lookup;1;true;0.6756;0.4120;8.8047;12.0121;26.701;26.564;26.993;0.950;0.3570;true;101;10;417979;1;0.0768;0.0018;0.0012;0.1217;0.000;0.000;0.00000;0.00000;false;19.4;candidate A drifted during the run, shifting -0.73% from its first half to its second, the machine did not hold still
lookup-hit95;struct3x64;2097152;ns/lookup;1;true;0.6874;0.4121;29.3321;37.1979;21.146;17.131;22.871;0.950;1.1861;true;101;10;136019;5;0.4296;0.0010;0.3763;0.4239;0.000;0.000;0.00000;0.00000;false;17.0;in 40% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
lookup-hit30-eqload;uint64;16384;ns/lookup;1;true;0.3749;0.4712;6.8273;10.4475;34.652;34.335;34.884;0.950;0.7249;true;101;10;443415;1;0.0878;0.0014;0.2970;0.3191;0.000;0.000;0.00000;0.00000;false;17.2;
lookup-hit30-eqload;uint64;2097152;ns/lookup;1;true;0.3887;0.4712;12.8099;18.3040;30.016;29.524;30.420;0.950;0.4017;true;101;10;282016;1;0.0980;0.0030;0.4447;0.0731;0.000;0.000;0.00000;0.00000;false;20.0;
lookup-hit30-eqload;string;16384;ns/lookup;1;false;0.3820;0.4688;12.8130;15.8892;19.360;19.111;19.701;0.950;0.3872;true;101;10;263972;5;0.2167;0.0014;0.1066;0.0889;0.000;0.000;0.00000;0.00000;false;16.9;
lookup-hit30-eqload;string;2097152;ns/lookup;1;false;0.3867;0.4688;35.5800;40.9481;13.110;9.668;17.667;0.950;0.6433;true;101;10;119335;5;0.5246;0.0024;0.0001;0.0001;0.000;0.000;0.00000;0.00000;false;18.7;candidate A drifted during the run, shifting +7.74% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting +4.98% from its first half to its second, the machine did not hold still
lookup-hit30-eqload;struct3x64;16384;ns/lookup;1;true;0.3378;0.4120;9.9740;14.2020;29.770;29.498;30.014;0.950;0.2330;true;101;10;364202;1;0.1258;0.0020;0.3400;0.6427;0.000;0.000;0.00000;0.00000;false;19.6;
