shape;keytype;size;elements;set3_bytes;map_bytes;set3_bytes_per_element;map_bytes_per_element;ratio_set3_over_map;set3_build_bytes_per_element;map_build_bytes_per_element;set3_build_mallocs_per_element;map_build_mallocs_per_element;note
presized;uint64;16384;16384;184400;591152;11.2549;36.0811;0.31193;11.255;36.081;0.00018;0.00403;
presized;uint64;2097152;2097152;23241008;75661360;11.0822;36.0781;0.30717;11.082;36.078;0.00000;0.00391;
presized;string;16384;16384;348240;873776;21.2549;53.3311;0.39855;21.255;53.331;0.00018;0.00403;
presized;string;2097152;2097152;43892816;111837232;20.9297;53.3281;0.39247;20.930;53.328;0.00000;0.00391;
presized;struct3x64;16384;16384;512208;1312048;31.2627;80.0811;0.39039;31.256;80.081;0.00024;0.00403;
presized;struct3x64;2097152;2097152;64545088;167936048;30.7775;80.0781;0.38434;30.777;80.078;0.00000;0.00391;
grown;uint64;16384;16384;213072;591152;13.0049;36.0811;0.36044;39.760;72.191;0.00189;0.00891;
grown;uint64;2097152;2097152;27467968;75661360;13.0977;36.0781;0.36304;39.338;72.159;0.00003;0.00782;
grown;string;16384;16384;401488;873776;24.5049;53.3311;0.45949;73.615;106.644;0.00189;0.00891;
grown;string;2097152;2097152;51880016;111837232;24.7383;53.3281;0.46389;74.239;106.658;0.00003;0.00782;
grown;struct3x64;16384;16384;589920;1312160;36.0059;80.0879;0.44958;108.003;159.939;0.00195;0.00897;
grown;struct3x64;2097152;2097152;76284224;167936048;36.3752;80.0781;0.45425;109.152;160.157;0.00003;0.00782;
half-removed;uint64;16384;8192;184400;591152;22.5098;72.1621;0.31193;22.510;72.162;0.00037;0.00806;
half-removed;uint64;2097152;1048576;23241120;75661360;22.1645;72.1563;0.30717;22.164;72.156;0.00000;0.00782;
half-removed;string;16384;8192;348240;873776;42.5098;106.6621;0.39855;42.510;106.662;0.00037;0.00806;
half-removed;string;2097152;1048576;43892816;111837232;41.8595;106.6563;0.39247;41.859;106.656;0.00000;0.00781;
half-removed;struct3x64;16384;8192;512096;1312048;62.5117;160.1621;0.39030;62.512;160.162;0.00049;0.00806;
half-removed;struct3x64;2097152;1048576;64545088;167936048;61.5550;160.1563;0.38434;61.555;160.156;0.00000;0.00781;
window-steady;uint64;16384;16384;278608;591152;17.0049;36.0811;0.47130;28.255;36.081;0.00031;0.00403;
window-steady;uint64;2097152;2097152;34857376;75661360;16.6213;36.0781;0.46070;27.703;36.078;0.00000;0.00391;
window-steady;string;16384;16384;524368;873776;32.0049;53.3311;0.60012;53.255;53.331;0.00031;0.00403;
window-steady;string;2097152;2097152;65830992;111837232;31.3907;53.3281;0.58863;52.320;53.328;0.00000;0.00391;
window-steady;struct3x64;16384;16384;761952;1312048;46.5059;80.0811;0.58073;77.756;80.081;0.00037;0.00403;
window-steady;struct3x64;2097152;2097152;96805520;167936048;46.1605;80.0781;0.57644;76.938;80.078;0.00000;0.00391;
