shape;keytype;size;elements;set3_bytes;map_bytes;set3_bytes_per_element;map_bytes_per_element;ratio_set3_over_map;set3_build_bytes_per_element;map_build_bytes_per_element;set3_build_mallocs_per_element;map_build_mallocs_per_element;note
presized;uint64;1000;1000;11600;36992;11.6000;36.9920;0.31358;11.600;36.992;0.00300;0.00600;
presized;uint64;16384;16384;184512;591152;11.2617;36.0811;0.31212;11.255;36.081;0.00018;0.00403;
presized;uint64;262144;262144;2916432;9458480;11.1253;36.0812;0.30834;11.125;36.081;0.00001;0.00391;
presized;uint64;2097152;2097152;23240896;75661360;11.0821;36.0781;0.30717;11.082;36.078;0.00000;0.00391;
presized;string;1000;1000;21840;54656;21.8400;54.6560;0.39959;21.840;54.656;0.00300;0.00600;
presized;string;16384;16384;348240;873776;21.2549;53.3311;0.39855;21.255;53.331;0.00018;0.00403;
presized;string;262144;262144;5496912;13980464;20.9691;53.3312;0.39319;20.969;53.331;0.00001;0.00391;
presized;string;2097152;2097152;43892816;111837232;20.9297;53.3281;0.39247;20.930;53.328;0.00000;0.00391;
presized;struct3x64;1000;1000;34144;82048;34.1440;82.0480;0.41615;34.144;82.048;0.00400;0.00600;
presized;struct3x64;16384;16384;512096;1312048;31.2559;80.0811;0.39030;31.256;80.081;0.00024;0.00403;
presized;struct3x64;262144;262144;8077408;20992816;30.8129;80.0812;0.38477;30.813;80.081;0.00002;0.00391;
presized;struct3x64;2097152;2097152;64545200;167936048;30.7775;80.0781;0.38434;30.777;80.078;0.00000;0.00391;
grown;uint64;1000;1000;12368;37104;12.3680;37.1040;0.33333;33.824;74.456;0.01700;0.02200;
grown;uint64;16384;16384;213072;591152;13.0049;36.0811;0.36044;39.760;72.191;0.00189;0.00891;
grown;uint64;262144;262144;3629136;9458480;13.8441;36.0812;0.38369;41.672;72.163;0.00017;0.00790;
grown;uint64;2097152;2097152;27468192;75661360;13.0979;36.0781;0.36304;39.338;72.159;0.00003;0.00782;
grown;string;1000;1000;23248;54656;23.2480;54.6560;0.42535;64.224;109.016;0.01700;0.02200;
grown;string;16384;16384;401488;873776;24.5049;53.3311;0.45949;73.615;106.644;0.00189;0.00891;
grown;string;262144;262144;6840400;13980464;26.0941;53.3312;0.48928;78.351;106.660;0.00017;0.00790;
grown;string;2097152;2097152;51880016;111837232;24.7383;53.3281;0.46389;74.239;106.658;0.00003;0.00783;
grown;struct3x64;1000;1000;34272;82048;34.2720;82.0480;0.41771;95.152;160.328;0.01800;0.02200;
grown;struct3x64;16384;16384;589920;1312048;36.0059;80.0811;0.44962;108.003;159.932;0.00195;0.00891;
grown;struct3x64;262144;262144;10051680;20992816;38.3441;80.0812;0.47882;115.094;160.147;0.00018;0.00790;
grown;struct3x64;2097152;2097152;76284112;167936048;36.3751;80.0781;0.45425;109.152;160.157;0.00003;0.00782;
half-removed;uint64;1000;500;11600;36992;23.2000;73.9840;0.31358;23.200;73.984;0.00600;0.01200;
half-removed;uint64;16384;8192;184400;591152;22.5098;72.1621;0.31193;22.510;72.162;0.00037;0.00806;
half-removed;uint64;262144;131072;2916432;9458480;22.2506;72.1625;0.30834;22.251;72.162;0.00002;0.00783;
half-removed;uint64;2097152;1048576;23240896;75661360;22.1642;72.1563;0.30717;22.164;72.156;0.00000;0.00781;
half-removed;string;1000;500;21840;54656;43.6800;109.3120;0.39959;43.680;109.312;0.00600;0.01200;
half-removed;string;16384;8192;348240;873776;42.5098;106.6621;0.39855;42.510;106.662;0.00037;0.00806;
half-removed;string;262144;131072;5496912;13980464;41.9381;106.6625;0.39319;41.938;106.662;0.00002;0.00783;
half-removed;string;2097152;1048576;43892816;111837232;41.8595;106.6563;0.39247;41.859;106.656;0.00000;0.00781;
half-removed;struct3x64;1000;500;34144;82048;68.2880;164.0960;0.41615;68.288;164.096;0.00800;0.01200;
half-removed;struct3x64;16384;8192;512096;1312048;62.5117;160.1621;0.39030;62.512;160.162;0.00049;0.00806;
half-removed;struct3x64;262144;131072;8077520;20992816;61.6266;160.1625;0.38478;61.626;160.162;0.00003;0.00783;
half-removed;struct3x64;2097152;1048576;64545088;167936048;61.5550;160.1563;0.38434;61.555;160.156;0.00000;0.00781;
window-steady;uint64;1000;1000;18512;36992;18.5120;36.9920;0.50043;30.032;36.992;0.00500;0.00600;
window-steady;uint64;16384;16384;278608;591152;17.0049;36.0811;0.47130;28.255;36.081;0.00031;0.00403;
window-steady;uint64;262144;262144;4366752;9458704;16.6578;36.0821;0.46166;27.782;36.081;0.00002;0.00391;
window-steady;uint64;2097152;2097152;34857264;75661360;16.6212;36.0781;0.46070;27.703;36.078;0.00000;0.00391;
window-steady;string;1000;1000;34896;54656;34.8960;54.6560;0.63847;56.656;54.656;0.00500;0.00600;
window-steady;string;16384;16384;524368;873776;32.0049;53.3311;0.60012;53.255;53.331;0.00031;0.00403;
window-steady;string;262144;262144;8241232;13980464;31.4378;53.3312;0.58948;52.407;53.331;0.00002;0.00391;
window-steady;string;2097152;2097152;65830992;111837232;31.3907;53.3281;0.58863;52.320;53.328;0.00000;0.00391;
window-steady;struct3x64;1000;1000;51296;82048;51.2960;82.0480;0.62520;85.344;82.048;0.00600;0.00600;
window-steady;struct3x64;16384;16384;761952;1312048;46.5059;80.0811;0.58073;77.756;80.081;0.00037;0.00403;
window-steady;struct3x64;262144;262144;12116400;20992816;46.2204;80.0812;0.57717;77.032;80.081;0.00002;0.00391;
window-steady;struct3x64;2097152;2097152;96805408;167936048;46.1604;80.0781;0.57644;76.938;80.078;0.00000;0.00391;
