keytype;size;impl;target_load;load;bytes_per_element;ns_per_lookup;delta_pct;ci_low_pct;ci_high_pct;noise_floor_pct;resolved;note
uint64;16384;map;0.0000;0.4712;36.081;10.5626;0.000;0.000;0.000;0.0000;false;
uint64;16384;Set3;0.8000;0.7606;11.833;11.7354;-10.174;-10.578;-9.740;0.6754;true;in 69% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
uint64;16384;Set3;0.6500;0.6135;14.669;8.4097;20.383;20.142;20.564;1.1247;true;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
uint64;16384;Set3;0.5000;0.4736;19.005;7.3007;30.696;30.396;30.899;0.8228;true;candidate B drifted during the run, shifting -0.28% from its first half to its second, the machine did not hold still, in 31% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
uint64;16384;Set3;0.4000;0.3749;24.005;6.9809;33.669;33.392;34.010;0.6180;true;
uint64;16384;Set3;0.3000;0.2903;31.005;6.9349;34.826;34.503;35.082;1.2411;true;
uint64;16384;Set3;0.2500;0.2400;37.505;6.9159;34.505;34.208;34.875;0.7330;true;
uint64;2097152;map;0.0000;0.4712;36.078;18.6839;0.000;0.000;0.000;0.0000;false;
uint64;2097152;Set3;0.8000;0.7797;11.543;16.5680;9.669;9.078;10.243;0.3739;true;
uint64;2097152;Set3;0.6500;0.6337;14.203;13.3188;28.466;27.801;28.962;0.3444;true;candidate B drifted during the run, shifting +0.33% from its first half to its second, the machine did not hold still
uint64;2097152;Set3;0.5000;0.4873;18.469;11.8625;34.802;33.331;36.074;0.3784;true;
uint64;2097152;Set3;0.4000;0.3899;23.082;11.7625;37.045;35.236;38.936;0.3543;true;
uint64;2097152;Set3;0.3000;0.2924;30.777;17.6036;32.969;18.745;51.959;3.5412;true;candidate A drifted during the run, shifting -17.09% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting -23.36% from its first half to its second, the machine did not hold still
uint64;2097152;Set3;0.2500;0.2437;36.930;18.4847;28.061;7.182;46.897;2.6703;true;
string;16384;map;0.0000;0.4688;53.331;15.1891;0.000;0.000;0.000;0.0000;false;
string;16384;Set3;0.8000;0.7612;22.333;19.5855;-28.945;-29.333;-28.324;0.3193;true;candidate A drifted during the run, shifting -1.25% from its first half to its second, the machine did not hold still, candidate B drifted during the run, shifting -0.94% from its first half to its second, the machine did not hold still
string;16384;Set3;0.6500;0.6257;27.169;15.9452;-4.535;-5.164;-3.982;0.5550;true;candidate A drifted during the run, shifting -0.77% from its first half to its second, the machine did not hold still, in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
string;16384;Set3;0.5000;0.4788;35.505;14.7318;2.987;2.349;3.264;0.3383;true;
string;16384;Set3;0.4000;0.3820;44.505;14.4383;4.638;4.191;4.998;0.4480;true;
string;16384;Set3;0.3000;0.2906;58.505;15.1400;3.632;2.208;5.483;0.3963;true;
string;16384;Set3;0.2500;0.2411;70.505;14.1643;3.666;3.303;3.979;0.4177;true;candidate A drifted during the run, shifting +0.61% from its first half to its second, the machine did not hold still
string;2097152;map;0.0000;0.4688;53.328;44.8386;0.000;0.000;0.000;0.0000;false;
string;2097152;Set3;0.8000;0.7798;21.801;43.0353;-7.436;-10.107;-4.594;1.1174;true;
string;2097152;Set3;0.6500;0.6337;26.828;45.8578;8.632;1.440;17.113;1.6548;true;candidate B drifted during the run, shifting -6.04% from its first half to its second, the machine did not hold still
