shape;keytype;size;elements;set3_bytes;map_bytes;set3_bytes_per_element;map_bytes_per_element;ratio_set3_over_map;set3_build_bytes_per_element;map_build_bytes_per_element;set3_build_mallocs_per_element;map_build_mallocs_per_element;note
presized;uint64;1000;1000;15440;36992;15.4400;36.9920;0.41739;15.440;36.992;0.00300;0.00600;
presized;uint64;16384;16384;249936;591152;15.2549;36.0811;0.42279;15.255;36.081;0.00018;0.00403;
presized;uint64;262144;262144;3940432;9458480;15.0316;36.0812;0.41660;15.032;36.081;0.00001;0.00391;
presized;uint64;2097152;2097152;31465776;75661360;15.0041;36.0781;0.41588;15.004;36.078;0.00000;0.00391;
presized;string;1000;1000;29136;54656;29.1360;54.6560;0.53308;29.136;54.656;0.00300;0.00600;
presized;string;16384;16384;471120;873776;28.7549;53.3311;0.53918;28.755;53.331;0.00018;0.00403;
presized;string;262144;262144;7438416;13980464;28.3753;53.3312;0.53206;28.375;53.331;0.00001;0.00391;
presized;string;2097152;2097152;59424848;111837232;28.3360;53.3281;0.53135;28.336;53.328;0.00000;0.00391;
presized;struct3x64;1000;1000;42848;82048;42.8480;82.0480;0.52223;42.848;82.048;0.00400;0.00600;
presized;struct3x64;16384;16384;692432;1312048;42.2627;80.0811;0.52775;42.256;80.081;0.00024;0.00403;
presized;struct3x64;262144;262144;10936416;20992816;41.7191;80.0812;0.52096;41.719;80.081;0.00002;0.00391;
presized;struct3x64;2097152;2097152;87392576;167936048;41.6720;80.0781;0.52039;41.672;80.078;0.00000;0.00391;
grown;uint64;1000;1000;18512;36992;18.5120;36.9920;0.50043;52.256;74.456;0.01900;0.02200;
grown;uint64;16384;16384;327760;591152;20.0049;36.0811;0.55444;59.760;72.191;0.00201;0.00891;
grown;uint64;262144;262144;5431376;9458480;20.7191;36.0812;0.57423;62.391;72.163;0.00018;0.00790;
grown;uint64;2097152;2097152;41198208;75661584;19.6448;36.0783;0.54451;58.983;72.159;0.00003;0.00782;
grown;string;1000;1000;34896;54656;34.8960;54.6560;0.63847;99.040;109.016;0.01900;0.02200;
grown;string;16384;16384;606288;873776;37.0049;53.3311;0.69387;110.615;106.644;0.00201;0.00891;
grown;string;262144;262144;10248272;13980464;39.0941;53.3312;0.73304;117.445;106.660;0.00018;0.00790;
grown;string;2097152;2097152;77807696;111837232;37.1016;53.3281;0.69572;111.341;106.658;0.00003;0.00782;
grown;struct3x64;1000;1000;51296;82048;51.2960;82.0480;0.62520;146.352;160.328;0.02000;0.02200;
grown;struct3x64;16384;16384;884832;1312160;54.0059;80.0879;0.67433;162.003;159.939;0.00208;0.00897;
grown;struct3x64;262144;262144;15073600;20992816;57.5012;80.0812;0.71804;172.594;160.147;0.00018;0.00790;
grown;struct3x64;2097152;2097152;114426176;167936048;54.5627;80.0781;0.68137;163.715;160.157;0.00003;0.00782;
half-removed;uint64;1000;500;15440;36992;30.8800;73.9840;0.41739;30.880;73.984;0.00600;0.01200;
half-removed;uint64;16384;8192;249936;591152;30.5098;72.1621;0.42279;30.510;72.162;0.00037;0.00806;
half-removed;uint64;262144;131072;3940432;9458480;30.0631;72.1625;0.41660;30.063;72.162;0.00002;0.00783;
half-removed;uint64;2097152;1048576;31465664;75661360;30.0080;72.1563;0.41587;30.008;72.156;0.00000;0.00781;
half-removed;string;1000;500;29136;54656;58.2720;109.3120;0.53308;58.272;109.312;0.00600;0.01200;
half-removed;string;16384;8192;471120;873776;57.5098;106.6621;0.53918;57.510;106.662;0.00037;0.00806;
half-removed;string;262144;131072;7438416;13980464;56.7506;106.6625;0.53206;56.751;106.662;0.00002;0.00783;
half-removed;string;2097152;1048576;59424848;111837232;56.6720;106.6563;0.53135;56.672;106.656;0.00000;0.00781;
half-removed;struct3x64;1000;500;42848;82048;85.6960;164.0960;0.52223;85.696;164.096;0.00800;0.01200;
half-removed;struct3x64;16384;8192;692320;1312048;84.5117;160.1621;0.52766;84.512;160.162;0.00049;0.00806;
half-removed;struct3x64;262144;131072;10936416;20992816;83.4382;160.1625;0.52096;83.438;160.162;0.00003;0.00783;
half-removed;struct3x64;2097152;1048576;87392576;167936048;83.3441;160.1563;0.52039;83.344;160.156;0.00000;0.00781;
window-steady;uint64;1000;1000;23248;36992;23.2480;36.9920;0.62846;38.608;36.992;0.00500;0.00600;
window-steady;uint64;16384;16384;385216;591152;23.5117;36.0811;0.65164;38.755;36.081;0.00031;0.00403;
window-steady;uint64;262144;262144;5914928;9458816;22.5637;36.0825;0.62533;37.594;36.081;0.00002;0.00391;
window-steady;uint64;2097152;2097152;47202832;75661360;22.5081;36.0781;0.62387;37.512;36.078;0.00000;0.00391;
window-steady;string;1000;1000;43728;54656;43.7280;54.6560;0.80006;72.784;54.656;0.00500;0.00600;
window-steady;string;16384;16384;712784;873776;43.5049;53.3311;0.81575;72.255;53.331;0.00031;0.00403;
window-steady;string;262144;262144;11157584;13980464;42.5628;53.3312;0.79808;70.938;53.331;0.00002;0.00391;
window-steady;string;2097152;2097152;89145424;111837232;42.5079;53.3281;0.79710;70.844;53.328;0.00000;0.00391;
window-steady;struct3x64;1000;1000;68320;82048;68.3200;82.0480;0.83268;111.072;82.048;0.00600;0.00600;
window-steady;struct3x64;16384;16384;1040480;1312048;63.5059;80.0811;0.79302;105.756;80.081;0.00037;0.00403;
window-steady;struct3x64;262144;262144;16400704;20993040;62.5637;80.0821;0.78124;104.282;80.081;0.00002;0.00391;
window-steady;struct3x64;2097152;2097152;131088480;167936048;62.5079;80.0781;0.78059;104.180;80.078;0.00000;0.00391;
