scenario;keytype;size;unit;items_per_op;raw_block_hash;set3_load_factor;map_load_factor;set3_ns;map_ns;delta_pct;ci_low_pct;ci_high_pct;level;noise_floor_pct;resolved;repeats;validation_runs;inner_loops;block_length;autocorrelation;tie_rate;drift_p_set3;drift_p_map;set3_alloc_bytes;map_alloc_bytes;set3_mallocs;map_mallocs;skipped;seconds;note
build-presized;uint64;1000;ns/element;1000;true;0.0000;0.0000;9.1485;16.0172;42.883;41.814;45.453;0.950;2.0491;true;101;16;444;5;0.2276;0.0036;0.5677;0.2716;11.600;36.944;0.00300;0.00500;false;40.7;
build-presized;uint64;16384;ns/element;16384;true;0.0000;0.0000;10.2134;18.1952;43.868;40.854;46.191;0.950;2.6081;true;101;16;22;5;0.2510;0.0034;0.1352;0.1097;11.255;36.078;0.00018;0.00397;false;38.0;
build-presized;uint64;262144;ns/element;262144;true;0.0000;0.0000;11.5885;25.7763;55.042;34.484;58.732;0.950;2.5513;true;51;10;1;1;-0.0226;0.0008;0.0336;0.6944;11.125;36.081;0.00001;0.00391;false;10.4;candidate A drifted during the run, shifting +4.09% from its first half to its second, the machine did not hold still
build-presized;uint64;2097152;ns/element;2097152;true;0.0000;0.0000;17.3749;57.4074;69.734;68.585;70.361;0.950;1.8515;true;25;2;1;1;0.0946;0.0142;0.6979;0.7317;11.082;36.078;0.00000;0.00391;false;21.8;
build-presized;string;1000;ns/element;1000;false;0.0000;0.0000;16.3869;26.5266;38.225;35.653;41.129;0.950;2.1134;true;101;16;361;5;0.3706;0.0016;0.5064;0.2862;21.840;54.608;0.00300;0.00500;false;49.5;
build-presized;string;16384;ns/element;16384;false;0.0000;0.0000;15.2326;32.5627;53.221;51.425;54.845;0.950;2.8302;true;101;16;19;5;0.2954;0.0054;0.6515;0.5546;21.255;53.328;0.00018;0.00397;false;57.8;
build-presized;string;262144;ns/element;262144;false;0.0000;0.0000;16.0505;55.6044;71.134;68.437;72.644;0.950;3.9850;true;51;6;1;4;0.3160;0.0064;0.6523;0.0951;20.969;53.352;0.00001;0.00394;false;14.6;
build-presized;string;2097152;ns/element;2097152;false;0.0000;0.0000;48.5672;98.0017;50.442;46.284;54.841;0.950;1.4923;true;11;2;1;1;0.1430;0.0012;0.8857;0.7737;20.930;53.331;0.00000;0.00391;false;20.6;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
build-presized;struct3x64;1000;ns/element;1000;true;0.0000;0.0000;18.4840;41.5954;55.562;53.746;57.084;0.950;3.2738;true;101;16;253;5;0.4163;0.0034;0.0252;0.0988;34.144;82.003;0.00400;0.00503;false;57.7;candidate A drifted during the run, shifting +5.83% from its first half to its second, the machine did not hold still
build-presized;struct3x64;16384;ns/element;16384;true;0.0000;0.0000;18.6060;51.8252;64.099;62.091;65.675;0.950;2.4371;true;101;16;20;5;0.3647;0.0016;0.5344;0.1191;31.256;80.078;0.00024;0.00397;false;83.9;
build-presized;struct3x64;262144;ns/element;262144;true;0.0000;0.0000;16.5315;60.8123;72.816;70.271;74.408;0.950;2.5032;true;51;6;1;1;0.1245;0.0044;0.6105;0.5839;30.813;80.081;0.00002;0.00391;false;13.6;
build-presized;struct3x64;2097152;ns/element;2097152;true;0.0000;0.0000;50.9757;161.3684;68.410;65.312;71.069;0.950;1.2597;true;11;2;1;1;0.1096;0.0228;0.7518;0.5460;30.778;80.078;0.00000;0.00391;false;29.5;in 50% of A/A runs this setup reported a difference between identical code, well above the 10% expected, treat any confidence from it with suspicion
build-growing;uint64;1000;ns/element;1000;true;0.0000;0.0000;23.7561;46.8529;49.296;48.178;50.567;0.950;2.2407;true;101;16;148;1;0.1316;0.0030;0.3334;0.0370;34.184;74.264;0.02100;0.02000;false;39.3;candidate B drifted during the run, shifting +0.79% from its first half to its second, the machine did not hold still
build-growing;uint64;16384;ns/element;16384;true;0.0000;0.0000;28.7645;49.8268;42.271;40.660;43.601;0.950;2.0243;true;101;16;10;1;0.0819;0.0060;0.0939;0.6606;39.782;72.179;0.00214;0.00879;false;47.1;
build-growing;uint64;262144;ns/element;262144;true;0.0000;0.0000;36.8468;59.4171;37.986;35.313;39.595;0.950;2.0169;true;51;6;1;1;-0.0078;0.0032;0.7196;0.2223;41.675;72.163;0.00020;0.00789;false;17.5;
